Country Name,Country Code,Year,Region,IncomeGroup,EnrollmentRate,EducationLevel,Gender
France,FRA,1982,Europe & Central Asia,High income,97.76446,Primary,Female
Ghana,GHA,2007,Sub-Saharan Africa,Lower middle income,78.23841,Primary,Female
Guinea,GIN,1999,Sub-Saharan Africa,Low income,34.5219,Primary,Female
Italy,ITA,1979,Europe & Central Asia,High income,99.54315,Primary,Female
Italy,ITA,2015,Europe & Central Asia,High income,98.26258,Primary,Female
Madagascar,MDG,1990,Sub-Saharan Africa,Low income,63.84127,Primary,Female
North Macedonia,MKD,2002,Europe & Central Asia,Upper middle income,93.54963,Primary,Female
Niger,NER,2002,Sub-Saharan Africa,Low income,27.44776,Primary,Female
Pre-demographic dividend,PRE,2007,,,68.0567,Primary,Female
San Marino,SMR,1989,Europe & Central Asia,High income,86.4215,Primary,Female
Tunisia,TUN,2005,Middle East & North Africa,Lower middle income,99.96022,Primary,Female
Tanzania,TZA,1996,Sub-Saharan Africa,Lower middle income,50.32388,Primary,Female
Upper middle income,UMC,2016,,,96.31864,Primary,Female
"Venezuela, RB",VEN,2002,Latin America & Caribbean,,95.51514,Primary,Female
United Arab Emirates,ARE,1981,Middle East & North Africa,High income,73.43204,Primary,Female
Cameroon,CMR,1971,Sub-Saharan Africa,Lower middle income,56.27766,Primary,Female
Comoros,COM,1994,Sub-Saharan Africa,Lower middle income,62.29609,Primary,Female
Europe & Central Asia,ECS,2005,,,95.73439,Primary,Female
Finland,FIN,1995,Europe & Central Asia,High income,98.36128,Primary,Female
Greece,GRC,1982,Europe & Central Asia,High income,93.81826,Primary,Female
Greece,GRC,2007,Europe & Central Asia,High income,94.72474,Primary,Female
Guatemala,GTM,1974,Latin America & Caribbean,Upper middle income,45.4893,Primary,Female
Hungary,HUN,2013,Europe & Central Asia,High income,96.83237,Primary,Female
Hungary,HUN,2017,Europe & Central Asia,High income,96.58643,Primary,Female
Jordan,JOR,2002,Middle East & North Africa,Upper middle income,93.89228,Primary,Female
Malaysia,MYS,2004,East Asia & Pacific,Upper middle income,99.439,Primary,Female
Nicaragua,NIC,1986,Latin America & Caribbean,Lower middle income,66.60693,Primary,Female
El Salvador,SLV,2014,Latin America & Caribbean,Lower middle income,89.46417,Primary,Female
Somalia,SOM,1976,Sub-Saharan Africa,Low income,15.41538,Primary,Female
Small states,SST,2011,,,85.76559,Primary,Female
Sao Tome and Principe,STP,2003,Sub-Saharan Africa,Lower middle income,95.38605,Primary,Female
Thailand,THA,1973,East Asia & Pacific,Upper middle income,71.7285,Primary,Female
Zambia,ZMB,2006,Sub-Saharan Africa,Lower middle income,90.18648,Primary,Female
Central African Republic,CAF,1991,Sub-Saharan Africa,Low income,44.41109,Primary,Female
Canada,CAN,1987,North America,High income,95.25014,Primary,Female
Caribbean small states,CSS,2003,,,90.45917,Primary,Female
Cuba,CUB,1994,Latin America & Caribbean,Upper middle income,97.24664,Primary,Female
Hungary,HUN,2002,Europe & Central Asia,High income,98.05927,Primary,Female
IBRD only,IBD,2017,,,96.22698,Primary,Female
Iraq,IRQ,1974,Middle East & North Africa,Upper middle income,41.14137,Primary,Female
Kuwait,KWT,2016,Middle East & North Africa,High income,98.50108,Primary,Female
Lao PDR,LAO,1993,East Asia & Pacific,Lower middle income,58.07887,Primary,Female
"Macao SAR, China",MAC,2012,East Asia & Pacific,High income,86.55914,Primary,Female
Oman,OMN,1990,Middle East & North Africa,High income,64.80003,Primary,Female
Poland,POL,2014,Europe & Central Asia,High income,96.15925,Primary,Female
Post-demographic dividend,PST,2016,,,96.73114,Primary,Female
Romania,ROU,2005,Europe & Central Asia,Upper middle income,98.53716,Primary,Female
El Salvador,SLV,2018,Latin America & Caribbean,Lower middle income,82.11591,Primary,Female
Sub-Saharan Africa (excluding high income),SSA,2016,,,75.86458,Primary,Female
Brazil,BRA,2013,Latin America & Caribbean,Upper middle income,97.84479,Primary,Female
Barbados,BRB,2016,Latin America & Caribbean,High income,98.55599,Primary,Female
Cameroon,CMR,1979,Sub-Saharan Africa,Lower middle income,62.99343,Primary,Female
Early-demographic dividend,EAR,2013,,,92.72548,Primary,Female
"Gambia, The",GMB,1983,Sub-Saharan Africa,Low income,40.65948,Primary,Female
Guyana,GUY,1979,Latin America & Caribbean,Upper middle income,89.32676,Primary,Female
IBRD only,IBD,2013,,,96.40113,Primary,Female
Ireland,IRL,1974,Europe & Central Asia,High income,96.59154,Primary,Female
Ireland,IRL,1975,Europe & Central Asia,High income,96.5388,Primary,Female
Italy,ITA,1985,Europe & Central Asia,High income,99.19013,Primary,Female
Mauritius,MUS,2009,Sub-Saharan Africa,Upper middle income,97.32628,Primary,Female
Nicaragua,NIC,1983,Latin America & Caribbean,Lower middle income,64.39848,Primary,Female
Senegal,SEN,2011,Sub-Saharan Africa,Lower middle income,75.0892,Primary,Female
Timor-Leste,TLS,2015,East Asia & Pacific,Lower middle income,94.87793,Primary,Female
Brazil,BRA,2011,Latin America & Caribbean,Upper middle income,95.40211,Primary,Female
Costa Rica,CRI,1982,Latin America & Caribbean,Upper middle income,88.54472,Primary,Female
Euro area,EMU,2010,,,98.48872,Primary,Female
Spain,ESP,2016,Europe & Central Asia,High income,99.20836,Primary,Female
Estonia,EST,2017,Europe & Central Asia,High income,94.55005,Primary,Female
IDA total,IDA,2009,,,72.70601,Primary,Female
Luxembourg,LUX,2004,Europe & Central Asia,High income,96.85886,Primary,Female
Morocco,MAR,1995,Middle East & North Africa,Lower middle income,54.90639,Primary,Female
North Macedonia,MKD,2013,Europe & Central Asia,Upper middle income,88.23059,Primary,Female
Mali,MLI,2002,Sub-Saharan Africa,Low income,44.85731,Primary,Female
Myanmar,MMR,2004,East Asia & Pacific,Lower middle income,88.7163,Primary,Female
Myanmar,MMR,2005,East Asia & Pacific,Lower middle income,88.7964,Primary,Female
Mozambique,MOZ,2002,Sub-Saharan Africa,Low income,52.92996,Primary,Female
Norway,NOR,1982,Europe & Central Asia,High income,98.36482,Primary,Female
Eswatini,SWZ,1988,Sub-Saharan Africa,Lower middle income,72.49306,Primary,Female
Syrian Arab Republic,SYR,1981,Middle East & North Africa,Low income,75.87662,Primary,Female
Togo,TGO,1978,Sub-Saharan Africa,Low income,53.79596,Primary,Female
Albania,ALB,2008,Europe & Central Asia,Upper middle income,87.34731,Primary,Female
Azerbaijan,AZE,2012,Europe & Central Asia,Upper middle income,88.10681,Primary,Female
Burundi,BDI,1984,Sub-Saharan Africa,Low income,28.0895,Primary,Female
Belgium,BEL,1995,Europe & Central Asia,High income,97.21866,Primary,Female
China,CHN,1995,East Asia & Pacific,Upper middle income,89.55309,Primary,Female
"Congo, Dem. Rep.",COD,1988,Sub-Saharan Africa,Low income,56.48755,Primary,Female
Costa Rica,CRI,1985,Latin America & Caribbean,Upper middle income,85.54829,Primary,Female
Cyprus,CYP,1978,Europe & Central Asia,High income,69.019,Primary,Female
Algeria,DZA,2000,Middle East & North Africa,Lower middle income,89.12297,Primary,Female
United Kingdom,GBR,1978,Europe & Central Asia,High income,96.4931,Primary,Female
Croatia,HRV,1999,Europe & Central Asia,High income,92.38192,Primary,Female
Jordan,JOR,2012,Middle East & North Africa,Upper middle income,74.35083,Primary,Female
Kazakhstan,KAZ,2006,Europe & Central Asia,Upper middle income,99.53002,Primary,Female
Morocco,MAR,1975,Middle East & North Africa,Lower middle income,30.47711,Primary,Female
Mali,MLI,2004,Sub-Saharan Africa,Low income,47.07999,Primary,Female
Myanmar,MMR,2000,East Asia & Pacific,Lower middle income,88.66937,Primary,Female
Mozambique,MOZ,2001,Sub-Saharan Africa,Low income,55.67982,Primary,Female
Mauritania,MRT,2014,Sub-Saharan Africa,Lower middle income,78.71735,Primary,Female
Pakistan,PAK,2006,South Asia,Lower middle income,53.48415,Primary,Female
West Bank and Gaza,PSE,2009,Middle East & North Africa,Lower middle income,87.98256,Primary,Female
Qatar,QAT,2006,Middle East & North Africa,High income,96.85941,Primary,Female
Romania,ROU,2017,Europe & Central Asia,Upper middle income,85.80322,Primary,Female
Rwanda,RWA,2017,Sub-Saharan Africa,Low income,97.39013,Primary,Female
Serbia,SRB,2015,Europe & Central Asia,Upper middle income,99.30296,Primary,Female
Togo,TGO,2014,Sub-Saharan Africa,Low income,88.94605,Primary,Female
Tajikistan,TJK,2001,Europe & Central Asia,Lower middle income,91.26457,Primary,Female
Turkey,TUR,2013,Europe & Central Asia,Upper middle income,92.83929,Primary,Female
Ukraine,UKR,2012,Europe & Central Asia,Lower middle income,94.40563,Primary,Female
Angola,AGO,1983,Sub-Saharan Africa,Lower middle income,40.20312,Primary,Female
Australia,AUS,1985,East Asia & Pacific,High income,96.45473,Primary,Female
Burkina Faso,BFA,1978,Sub-Saharan Africa,Low income,9.67422,Primary,Female
Switzerland,CHE,1978,Europe & Central Asia,High income,77.40173,Primary,Female
Cameroon,CMR,2011,Sub-Saharan Africa,Lower middle income,82.91874,Primary,Female
Cuba,CUB,1974,Latin America & Caribbean,Upper middle income,95.09471,Primary,Female
Cyprus,CYP,1983,Europe & Central Asia,High income,68.05516,Primary,Female
Cyprus,CYP,1988,Europe & Central Asia,High income,78.76016,Primary,Female
Europe & Central Asia (excluding high income),ECA,2011,,,94.70553,Primary,Female
Finland,FIN,1998,Europe & Central Asia,High income,99.34172,Primary,Female
Ireland,IRL,1980,Europe & Central Asia,High income,94.41132,Primary,Female
"Korea, Rep.",KOR,2012,East Asia & Pacific,High income,98.26639,Primary,Female
Nicaragua,NIC,1995,Latin America & Caribbean,Lower middle income,74.50483,Primary,Female
New Zealand,NZL,1974,East Asia & Pacific,High income,99.14273,Primary,Female
Pakistan,PAK,2003,South Asia,Lower middle income,47.51588,Primary,Female
Peru,PER,2012,Latin America & Caribbean,Upper middle income,93.99569,Primary,Female
Qatar,QAT,2014,Middle East & North Africa,High income,95.02616,Primary,Female
Slovenia,SVN,2011,Europe & Central Asia,High income,99.94988,Primary,Female
Middle East & North Africa (IDA & IBRD countries),TMN,2003,,,87.37893,Primary,Female
Turkey,TUR,1994,Europe & Central Asia,Upper middle income,88.84879,Primary,Female
Tanzania,TZA,2005,Sub-Saharan Africa,Lower middle income,90.41324,Primary,Female
United States,USA,2013,North America,High income,97.27516,Primary,Female
Armenia,ARM,2005,Europe & Central Asia,Upper middle income,89.69792,Primary,Female
Australia,AUS,1993,East Asia & Pacific,High income,97.00772,Primary,Female
Botswana,BWA,2009,Sub-Saharan Africa,Upper middle income,86.38464,Primary,Female
Cameroon,CMR,1988,Sub-Saharan Africa,Lower middle income,68.92324,Primary,Female
Czech Republic,CZE,2014,Europe & Central Asia,High income,89.49493,Primary,Female
Algeria,DZA,1986,Middle East & North Africa,Lower middle income,74.06331,Primary,Female
Europe & Central Asia,ECS,2010,,,96.45887,Primary,Female
Ethiopia,ETH,2004,Sub-Saharan Africa,Low income,46.42757,Primary,Female
France,FRA,2009,Europe & Central Asia,High income,98.65272,Primary,Female
"Hong Kong SAR, China",HKG,1977,East Asia & Pacific,High income,95.28625,Primary,Female
Iraq,IRQ,1975,Middle East & North Africa,Upper middle income,44.23178,Primary,Female
Jordan,JOR,1983,Middle East & North Africa,Upper middle income,87.63735,Primary,Female
Lower middle income,LMC,2013,,,87.89343,Primary,Female
Lesotho,LSO,1985,Sub-Saharan Africa,Lower middle income,74.38011,Primary,Female
Morocco,MAR,2007,Middle East & North Africa,Lower middle income,87.97167,Primary,Female
Mexico,MEX,1971,Latin America & Caribbean,Upper middle income,80.16526,Primary,Female
Mauritania,MRT,1996,Sub-Saharan Africa,Lower middle income,52.71616,Primary,Female
Mauritania,MRT,1999,Sub-Saharan Africa,Lower middle income,58.52841,Primary,Female
Nicaragua,NIC,1991,Latin America & Caribbean,Lower middle income,70.45706,Primary,Female
Netherlands,NLD,1980,Europe & Central Asia,High income,94.52062,Primary,Female
Oman,OMN,1975,Middle East & North Africa,High income,14.566,Primary,Female
Trinidad and Tobago,TTO,2001,Latin America & Caribbean,High income,98.10679,Primary,Female
"Venezuela, RB",VEN,2007,Latin America & Caribbean,,94.2606,Primary,Female
"Yemen, Rep.",YEM,2004,Middle East & North Africa,Low income,62.72928,Primary,Female
Belgium,BEL,2009,Europe & Central Asia,High income,97.94753,Primary,Female
Costa Rica,CRI,1991,Latin America & Caribbean,Upper middle income,87.64169,Primary,Female
Cyprus,CYP,1996,Europe & Central Asia,High income,95.85717,Primary,Female
Guinea,GIN,1991,Sub-Saharan Africa,Low income,17.12235,Primary,Female
Libya,LBY,1981,Middle East & North Africa,Upper middle income,94.12282,Primary,Female
Mauritius,MUS,1980,Sub-Saharan Africa,Upper middle income,78.5737,Primary,Female
Pakistan,PAK,2014,South Asia,Lower middle income,60.37147,Primary,Female
Panama,PAN,2009,Latin America & Caribbean,Upper middle income,93.97832,Primary,Female
Poland,POL,2017,Europe & Central Asia,High income,97.27989,Primary,Female
Qatar,QAT,1973,Middle East & North Africa,High income,85.77034,Primary,Female
Uganda,UGA,1979,Sub-Saharan Africa,Low income,33.55406,Primary,Female
"Yemen, Rep.",YEM,1999,Middle East & North Africa,Low income,41.96128,Primary,Female
Albania,ALB,2004,Europe & Central Asia,Upper middle income,91.97377,Primary,Female
Burundi,BDI,2018,Sub-Saharan Africa,Low income,94.82571,Primary,Female
Belgium,BEL,2003,Europe & Central Asia,High income,98.03134,Primary,Female
Benin,BEN,1988,Sub-Saharan Africa,Lower middle income,32.79162,Primary,Female
Botswana,BWA,2001,Sub-Saharan Africa,Upper middle income,89.33542,Primary,Female
Switzerland,CHE,1986,Europe & Central Asia,High income,77.38807,Primary,Female
Cabo Verde,CPV,2007,Sub-Saharan Africa,Lower middle income,96.85466,Primary,Female
Cabo Verde,CPV,2010,Sub-Saharan Africa,Lower middle income,93.92161,Primary,Female
Cuba,CUB,1981,Latin America & Caribbean,Upper middle income,94.41839,Primary,Female
Ecuador,ECU,1976,Latin America & Caribbean,Upper middle income,80.88395,Primary,Female
Italy,ITA,1976,Europe & Central Asia,High income,99.16588,Primary,Female
"Korea, Rep.",KOR,2017,East Asia & Pacific,High income,97.50096,Primary,Female
Low income,LIC,2011,,,76.383,Primary,Female
Nicaragua,NIC,1999,Latin America & Caribbean,Lower middle income,83.4261,Primary,Female
OECD members,OED,2017,,,97.12684,Primary,Female
Other small states,OSS,2016,,,85.81034,Primary,Female
Paraguay,PRY,1981,Latin America & Caribbean,Upper middle income,87.31095,Primary,Female
Senegal,SEN,2008,Sub-Saharan Africa,Lower middle income,72.31399,Primary,Female
Europe & Central Asia (IDA & IBRD countries),TEC,2018,,,95.09546,Primary,Female
Arab World,ARB,2004,,,77.94774,Primary,Female
Bulgaria,BGR,2013,Europe & Central Asia,Upper middle income,95.36479,Primary,Female
Cote d'Ivoire,CIV,2009,Sub-Saharan Africa,Lower middle income,50.48391,Primary,Female
Cuba,CUB,2004,Latin America & Caribbean,Upper middle income,97.71117,Primary,Female
Europe & Central Asia (excluding high income),ECA,2009,,,93.74092,Primary,Female
Guinea,GIN,2002,Sub-Saharan Africa,Low income,48.4312,Primary,Female
Iraq,IRQ,1989,Middle East & North Africa,Upper middle income,83.71721,Primary,Female
Middle East & North Africa,MEA,2013,,,93.60181,Primary,Female
Montenegro,MNE,2007,Europe & Central Asia,Upper middle income,96.79964,Primary,Female
Nicaragua,NIC,2000,Latin America & Caribbean,Lower middle income,86.54841,Primary,Female
Philippines,PHL,2003,East Asia & Pacific,Lower middle income,91.38405,Primary,Female
Romania,ROU,1995,Europe & Central Asia,Upper middle income,88.30312,Primary,Female
Romania,ROU,2010,Europe & Central Asia,Upper middle income,95.85091,Primary,Female
Serbia,SRB,2013,Europe & Central Asia,Upper middle income,96.69024,Primary,Female
Uruguay,URY,1995,Latin America & Caribbean,High income,92.92804,Primary,Female
Burundi,BDI,2002,Sub-Saharan Africa,Low income,44.42929,Primary,Female
Burundi,BDI,2009,Sub-Saharan Africa,Low income,91.43263,Primary,Female
Barbados,BRB,2010,Latin America & Caribbean,High income,95.71802,Primary,Female
Brunei Darussalam,BRN,1991,East Asia & Pacific,High income,89.07874,Primary,Female
Cuba,CUB,2009,Latin America & Caribbean,Upper middle income,98.18851,Primary,Female
"Gambia, The",GMB,1981,Sub-Saharan Africa,Low income,33.69399,Primary,Female
Cambodia,KHM,2016,East Asia & Pacific,Lower middle income,92.95684,Primary,Female
Paraguay,PRY,2002,Latin America & Caribbean,Upper middle income,97.67724,Primary,Female
Pacific island small states,PSS,1997,,,82.36055,Primary,Female
Sub-Saharan Africa,SSF,2007,,,70.7902,Primary,Female
Togo,TGO,2005,Sub-Saharan Africa,Low income,85.20239,Primary,Female
Latin America & the Caribbean (IDA & IBRD countries),TLA,2000,,,94.07656,Primary,Female
Trinidad and Tobago,TTO,1983,Latin America & Caribbean,High income,94.0754,Primary,Female
World,WLD,2011,,,89.34253,Primary,Female
Arab World,ARB,2005,,,79.10946,Primary,Female
Azerbaijan,AZE,1998,Europe & Central Asia,Upper middle income,87.86644,Primary,Female
Central African Republic,CAF,2011,Sub-Saharan Africa,Low income,56.00476,Primary,Female
Central Europe and the Baltics,CEB,2014,,,93.62315,Primary,Female
Cote d'Ivoire,CIV,2014,Sub-Saharan Africa,Lower middle income,68.26229,Primary,Female
Cabo Verde,CPV,2006,Sub-Saharan Africa,Lower middle income,96.9451,Primary,Female
Cyprus,CYP,2014,Europe & Central Asia,High income,97.79261,Primary,Female
Europe & Central Asia (excluding high income),ECA,2015,,,94.98739,Primary,Female
Europe & Central Asia,ECS,2001,,,95.07291,Primary,Female
Guatemala,GTM,2018,Latin America & Caribbean,Upper middle income,89.52512,Primary,Female
Jordan,JOR,2005,Middle East & North Africa,Upper middle income,94.50564,Primary,Female
Malta,MLT,1995,Middle East & North Africa,High income,94.78934,Primary,Female
Mauritius,MUS,1991,Sub-Saharan Africa,Upper middle income,93.33278,Primary,Female
Nicaragua,NIC,1990,Latin America & Caribbean,Lower middle income,68.23713,Primary,Female
Norway,NOR,2003,Europe & Central Asia,High income,99.89115,Primary,Female
West Bank and Gaza,PSE,1999,Middle East & North Africa,Lower middle income,90.45603,Primary,Female
Qatar,QAT,2000,Middle East & North Africa,High income,97.84263,Primary,Female
Senegal,SEN,2012,Sub-Saharan Africa,Lower middle income,78.84001,Primary,Female
Middle East & North Africa (IDA & IBRD countries),TMN,2011,,,93.16996,Primary,Female
Trinidad and Tobago,TTO,1980,Latin America & Caribbean,High income,86.63927,Primary,Female
Armenia,ARM,2012,Europe & Central Asia,Upper middle income,96.88121,Primary,Female
Brunei Darussalam,BRN,1992,East Asia & Pacific,High income,91.82186,Primary,Female
European Union,EUU,2009,,,97.83844,Primary,Female
Fiji,FJI,1999,East Asia & Pacific,Upper middle income,94.56578,Primary,Female
United Kingdom,GBR,1987,Europe & Central Asia,High income,98.21247,Primary,Female
Iceland,ISL,1997,Europe & Central Asia,High income,98.86128,Primary,Female
Jordan,JOR,2003,Middle East & North Africa,Upper middle income,95.3084,Primary,Female
Lesotho,LSO,1978,Sub-Saharan Africa,Lower middle income,69.30247,Primary,Female
Mozambique,MOZ,1989,Sub-Saharan Africa,Low income,40.05235,Primary,Female
Niger,NER,1999,Sub-Saharan Africa,Low income,20.81695,Primary,Female
Niger,NER,2005,Sub-Saharan Africa,Low income,34.26441,Primary,Female
Paraguay,PRY,2012,Latin America & Caribbean,Upper middle income,87.97838,Primary,Female
Senegal,SEN,2014,Sub-Saharan Africa,Lower middle income,78.71067,Primary,Female
Turkey,TUR,2012,Europe & Central Asia,Upper middle income,93.21474,Primary,Female
Zambia,ZMB,1986,Sub-Saharan Africa,Lower middle income,79.6513,Primary,Female
Bhutan,BTN,2012,South Asia,Lower middle income,92.8337,Primary,Female
Central African Republic,CAF,1986,Sub-Saharan Africa,Low income,50.49967,Primary,Female
Switzerland,CHE,2012,Europe & Central Asia,High income,99.86111,Primary,Female
Cote d'Ivoire,CIV,2017,Sub-Saharan Africa,Lower middle income,84.7071,Primary,Female
Europe & Central Asia (excluding high income),ECA,2008,,,94.045,Primary,Female
Estonia,EST,1995,Europe & Central Asia,High income,86.0757,Primary,Female
Fragile and conflict affected situations,FCS,2012,,,71.45562,Primary,Female
Ghana,GHA,1999,Sub-Saharan Africa,Lower middle income,58.59298,Primary,Female
"Gambia, The",GMB,2002,Sub-Saharan Africa,Low income,60.24032,Primary,Female
Equatorial Guinea,GNQ,2003,Sub-Saharan Africa,Upper middle income,64.53484,Primary,Female
High income,HIC,2005,,,95.55552,Primary,Female
"Hong Kong SAR, China",HKG,1981,East Asia & Pacific,High income,98.88392,Primary,Female
IDA only,IDX,2011,,,78.92861,Primary,Female
Kuwait,KWT,1973,Middle East & North Africa,High income,63.88534,Primary,Female
Latin America & Caribbean (excluding high income),LAC,2016,,,96.01457,Primary,Female
Luxembourg,LUX,2011,Europe & Central Asia,High income,95.66652,Primary,Female
OECD members,OED,2010,,,96.53372,Primary,Female
Peru,PER,2015,Latin America & Caribbean,Upper middle income,96.91169,Primary,Female
Romania,ROU,2003,Europe & Central Asia,Upper middle income,97.35769,Primary,Female
Rwanda,RWA,1974,Sub-Saharan Africa,Low income,47.82932,Primary,Female
Sao Tome and Principe,STP,1990,Sub-Saharan Africa,Lower middle income,89.60396,Primary,Female
Sao Tome and Principe,STP,2017,Sub-Saharan Africa,Lower middle income,93.98178,Primary,Female
Seychelles,SYC,1996,Sub-Saharan Africa,High income,93.21565,Primary,Female
Burkina Faso,BFA,2001,Sub-Saharan Africa,Low income,31.5537,Primary,Female
Bolivia,BOL,2017,Latin America & Caribbean,Lower middle income,91.29061,Primary,Female
Brunei Darussalam,BRN,1982,East Asia & Pacific,High income,75.02992,Primary,Female
Brunei Darussalam,BRN,1995,East Asia & Pacific,High income,98.14344,Primary,Female
Cabo Verde,CPV,2017,Sub-Saharan Africa,Lower middle income,92.1013,Primary,Female
Europe & Central Asia (excluding high income),ECA,2018,,,94.87503,Primary,Female
Greece,GRC,2013,Europe & Central Asia,High income,96.83712,Primary,Female
Hungary,HUN,1996,Europe & Central Asia,High income,77.3119,Primary,Female
Cambodia,KHM,2018,East Asia & Pacific,Lower middle income,90.63422,Primary,Female
Liberia,LBR,1999,Sub-Saharan Africa,Low income,42.04987,Primary,Female
Morocco,MAR,2008,Middle East & North Africa,Lower middle income,88.85931,Primary,Female
North America,NAC,2016,,,95.65069,Primary,Female
Oman,OMN,1976,Middle East & North Africa,High income,16.67843,Primary,Female
Albania,ALB,2003,Europe & Central Asia,Upper middle income,92.23154,Primary,Female
Australia,AUS,1991,East Asia & Pacific,High income,97.68312,Primary,Female
Burkina Faso,BFA,1979,Sub-Saharan Africa,Low income,10.08639,Primary,Female
Costa Rica,CRI,1980,Latin America & Caribbean,Upper middle income,89.96312,Primary,Female
Cuba,CUB,1990,Latin America & Caribbean,Upper middle income,91.89559,Primary,Female
Cuba,CUB,1995,Latin America & Caribbean,Upper middle income,97.14267,Primary,Female
Ecuador,ECU,2001,Latin America & Caribbean,Upper middle income,99.26447,Primary,Female
"Hong Kong SAR, China",HKG,1995,East Asia & Pacific,High income,95.01585,Primary,Female
Croatia,HRV,2009,Europe & Central Asia,High income,91.78521,Primary,Female
Lao PDR,LAO,2004,East Asia & Pacific,Lower middle income,76.76117,Primary,Female
Libya,LBY,1971,Middle East & North Africa,Upper middle income,63.9801,Primary,Female
Low income,LIC,2008,,,74.16953,Primary,Female
Morocco,MAR,1988,Middle East & North Africa,Lower middle income,45.92193,Primary,Female
Other small states,OSS,2013,,,85.06345,Primary,Female
Poland,POL,2001,Europe & Central Asia,High income,96.55528,Primary,Female
Pacific island small states,PSS,2016,,,78.78416,Primary,Female
Post-demographic dividend,PST,2017,,,96.67696,Primary,Female
Saudi Arabia,SAU,2016,Middle East & North Africa,High income,96.5697,Primary,Female
Sudan,SDN,2014,Sub-Saharan Africa,Low income,58.71826,Primary,Female
Suriname,SUR,2018,Latin America & Caribbean,Upper middle income,87.72937,Primary,Female
Trinidad and Tobago,TTO,1987,Latin America & Caribbean,High income,93.03525,Primary,Female
Tanzania,TZA,2008,Sub-Saharan Africa,Lower middle income,99.01626,Primary,Female
Uganda,UGA,1982,Sub-Saharan Africa,Low income,40.2252,Primary,Female
Bulgaria,BGR,2016,Europe & Central Asia,Upper middle income,89.27894,Primary,Female
Bahrain,BHR,2001,Middle East & North Africa,High income,97.59441,Primary,Female
United Kingdom,GBR,2016,Europe & Central Asia,High income,99.56731,Primary,Female
Grenada,GRD,2005,Latin America & Caribbean,Upper middle income,97.36652,Primary,Female
"Hong Kong SAR, China",HKG,1975,East Asia & Pacific,High income,91.99724,Primary,Female
"Iran, Islamic Rep.",IRN,1984,Middle East & North Africa,Lower middle income,74.43465,Primary,Female
Kenya,KEN,2005,Sub-Saharan Africa,Lower middle income,70.3048,Primary,Female
Latin America & Caribbean,LCN,2013,,,95.89789,Primary,Female
Lesotho,LSO,2012,Sub-Saharan Africa,Lower middle income,90.5911,Primary,Female
Norway,NOR,2008,Europe & Central Asia,High income,99.39836,Primary,Female
Paraguay,PRY,1991,Latin America & Caribbean,Upper middle income,94.21239,Primary,Female
El Salvador,SLV,2000,Latin America & Caribbean,Lower middle income,90.86143,Primary,Female
Togo,TGO,1996,Sub-Saharan Africa,Low income,67.47189,Primary,Female
Tunisia,TUN,1979,Middle East & North Africa,Lower middle income,67.30062,Primary,Female
Zambia,ZMB,1984,Sub-Saharan Africa,Lower middle income,77.8042,Primary,Female
Belgium,BEL,2006,Europe & Central Asia,High income,96.42589,Primary,Female
Burkina Faso,BFA,1980,Sub-Saharan Africa,Low income,10.8048,Primary,Female
Bulgaria,BGR,2017,Europe & Central Asia,Upper middle income,88.14373,Primary,Female
Belarus,BLR,2016,Europe & Central Asia,Upper middle income,96.46518,Primary,Female
Germany,DEU,2007,Europe & Central Asia,High income,89.54017,Primary,Female
Ethiopia,ETH,2007,Sub-Saharan Africa,Low income,68.48561,Primary,Female
Fragile and conflict affected situations,FCS,2014,,,72.96943,Primary,Female
Finland,FIN,1994,Europe & Central Asia,High income,98.70792,Primary,Female
France,FRA,1979,Europe & Central Asia,High income,99.11278,Primary,Female
"Gambia, The",GMB,1977,Sub-Saharan Africa,Low income,18.87205,Primary,Female
Hungary,HUN,2015,Europe & Central Asia,High income,96.58753,Primary,Female
Indonesia,IDN,2006,East Asia & Pacific,Lower middle income,93.20646,Primary,Female
Kenya,KEN,2008,Sub-Saharan Africa,Lower middle income,75.97899,Primary,Female
Madagascar,MDG,2003,Sub-Saharan Africa,Low income,78.21286,Primary,Female
Mozambique,MOZ,1982,Sub-Saharan Africa,Low income,33.60308,Primary,Female
New Zealand,NZL,1991,East Asia & Pacific,High income,98.81623,Primary,Female
Philippines,PHL,2001,East Asia & Pacific,Lower middle income,90.48919,Primary,Female
West Bank and Gaza,PSE,2012,Middle East & North Africa,Lower middle income,93.66842,Primary,Female
Senegal,SEN,2004,Sub-Saharan Africa,Lower middle income,62.5563,Primary,Female
Slovak Republic,SVK,2008,Europe & Central Asia,High income,88.19401,Primary,Female
Chad,TCD,2016,Sub-Saharan Africa,Low income,64.29745,Primary,Female
Armenia,ARM,2014,Europe & Central Asia,Upper middle income,94.47563,Primary,Female
Azerbaijan,AZE,2008,Europe & Central Asia,Upper middle income,83.64021,Primary,Female
Bulgaria,BGR,2014,Europe & Central Asia,Upper middle income,94.21696,Primary,Female
Denmark,DNK,1983,Europe & Central Asia,High income,98.15753,Primary,Female
IDA total,IDA,2016,,,75.86115,Primary,Female
Jamaica,JAM,1977,Latin America & Caribbean,Upper middle income,94.38466,Primary,Female
Kuwait,KWT,1981,Middle East & North Africa,High income,78.84504,Primary,Female
Least developed countries: UN classification,LDC,2012,,,79.12591,Primary,Female
Mali,MLI,1971,Sub-Saharan Africa,Low income,12.79987,Primary,Female
